itemId	binId
701-336-101-000	B-01-A-1-D
701-471-801	B-01-A-2-A
701-472-801-000	B-01-A-2-B
701-472-802-000	B-01-A-2-C
701-473-802	B-01-A-2-D
701-474-401	B-01-A-2-E
701-682-801-000	B-01-A-3-A
701-683-800	B-01-A-3-B
701-475-601	B-01-A-3-C
701-476-101-000	B-01-A-3-D
701-476-103-000	B-01-A-3-E
702-029-001-000	B-01-A-4-A
702-140-001	B-01-A-4-B
702-229-001-000	B-01-A-4-C
702-529-001-000	B-01-A-4-D
702-539-101-000	B-01-A-5-B
702-829-102-000	B-01-A-5-C
703-231-001-000	B-01-A-5-D
700-104-301-000	B01B1
701-103-807-000	B-01-B-1-A
701-103-808-000	B-01-B-1-B
701-103-401-000	B-01-B-1-C
701-105-301-000	B-01-B-2-A
701-105-401-000	B-01-B-2-B
459-001-002-698	B-01-B-2-C
701-106-202-000	B-01-B-3-A
701-106-301-000	B-01-B-3-B
701-106-302-000	B-01-B-3-C
701-122-800-000	B-01-B-4-A
701-183-801	B-01-B-4-B
701-221-801	B-01-B-5-A
701-221-802	B-01-B-5-B
701-221-803-000	B-01-B-5-C
701-224-401-000	B-01-B-5-D
701-226-104-000	B-01-B-5-E
700-471-501	B-01-C-1-A
700-623-101-000	B-01-C-1-C
700-122-101-000	B-01-C-1-D
700-200-101-000	B-01-C-1-E
700-151-101	B-01-C-2-B
701-106-701-000	B-01-C-2-C
700-124-401	B-01-C-2-D
700-390-101-000	B-01-C-2-E
700-334-401-000	B-01-C-3-A
700-519-101-000	B-01-C-3-B
700-272-401-000	B-01-C-3-C
700-472-401-000	B-01-C-3-D
700-682-101-000	B-01-C-3-E
218-034-001-661	B-01-D-1-A
218-212-005-125	B-01-D-1-B
60020	B-01-D-1-C
700-471-401-000	B-01-D-1-D
453-022-002	B-01-D-1-E
218-121-003-100	B-01-D-2-A
218-030-002-660	B-01-D-3-B
218-004-015-694	B-01-E-1-A
218-004-016-603	B-01-E-1-B
029-201-004-100	B-01-E-1-C
218-004-016-694	B-01-E-1-D
241-834-001-100	B-01-E-2-A
209-122-003-106	B-01-E-2-B
241-842-001-100	B-01-E-2-D
209-011-003-100	B-01-E-3-A
209-011-007-113	B-01-E-3-B
550-111-001-125	B-01-E-3-C
579-912-001-105	B01F
218-294-002-653	B-01-F-1
218-004-006-603	B-01-F-2
579-914-039-603	B-01-F-3-A
579-914-040-603	B-01-F-3-B
459-001-021-000	B-01-F-3-C
218-112-003-103	B-02-B-1-A
218-112-004-103	B-02-B-1-B
554-691-001-000	B-02-B-2-A
554-691-002-000	B-02-B-2-B
521-360-001-000	B-02-B-3-B
752-213-001-603	B-02-C-1-A
559-998-009-000	B-02-C-2-A
742-101-002-100	B-02-C-2-B
029-111-003-100	B-02-D-1-A
240-300-002-660	B-02-D-1-B
752-941-001-603	B-02-D-1-C
993-110-001-111	B-02-D-2-A
19254	B-02-D-2-B
218-104-001-511	B-02-D-3-A
209-169-001-000	B-02-E-2-A
200-000-001-694	B-02-E-3-A
240-834-001-603	B-02-E-3-B
015-520-001-000	B-02-F-1
017-320-001-000	B-02-F-1-A
17344-603	B-02-F-3
571-914-004-603	B-03-A-1
571-914-003-603	B-03-A-1-A
600-902-027-603	B-03-A-1-B
539-040-005-600	B-03-B-2
209-114-009-653	B-03-C-1
209-011-003-113	B-03-C-2
240-862-002-600	B-03-C-3-A
241-894-001-603	B-03-C-3-B
459-101-001-131	B-03-D-0-2
569-002-005-103	B-03-D-1-A
240-894-001-600	B-03-D-1-B
240-300-002-603	B-03-D-1-C
459-024-005-603	B-03-D-1F
930-837-006-603	B-03-D-2-A
216-430-001-604	B-03-D-2-B
459-024-003-000	B-03-D-2F
993-130-002-100	B-03-D-3
993-130-001-100	B-03-D-3-1
650-905-002-698	B-03-D-3-A
240-824-002-661	B-03-D-3-B
539-042-021-100	B-03-E-1
539-042-020-100	B-03-E-2
539-042-019-603	B-03-E-3
750-424-010-603	B-03-E-3-B
539-042-023-100	B03F
539-042-043-603	B-03-F-1
218-004-015-603	B-03-F-2
230-004-001-603	B-03-F-3
218-204-008-604	B-04-A-1
218-034-001-653	B-04-A-2
217-330-007-604	B-04-B-1
539-010-003-794	B-04-B-2
589-469-001-603	B-04-B-2-2
6327	B-04-B-2-A
218-204-012-694	B-04-B-3-A
904-416-002-101	B-04-B-3-B
700-332-101-000	B-04-B-3-C
539-040-019-603	B-04-C-1
218-284-013-603	B-04-C-1-B
218-294-001-694	B-04-C-2-A
218-004-007-694	B-04-C-2-C
930-837-004-107	B-04-C-3A
561-150-001-661	B-04-C-3-A
930-837-005-107	B-04-C-3B
218-204-012-604	B-04-C-3-B
218-004-016-604	B-04-C-3-C
90009-62	B-04-D-1-B
703-075-001-000	B-04-D-2-1
999-999-002-101	B-04-D-2-B
999-999-001-101	B-04-D-2-B-1
999-999-001-603	B-04-D-2-C
999-999-002-603	B-04-D-2-D
999-999-004-603	B-04-D-2-E
999-999-003-101	B-04-D-2-F
999-999-004-101	B-04-D-2-G
700-183-101-000	B-04-D-3-A
873-009-002-603	B-04-D-3-B
999-999-003-603	B-04-D-3-B-1
872-909-002-603	B-04-D-3-C
539-922-004-105	B-04-D-4-B
216-030-005-640	B-04-E-1
539-030-013-000	B-04-E-2
590-930-003-000	B05A1
539-030-033-604	B-05-A-1
459-001-003-603	B-05-B-1-A
453-820-001-660	B-05-B-1-B
459-090-009-603	B-05-B-1-C
459-211-003-100	B-05-B-1-D
459-210-003-000	B-05-B-1-E
459-210-001-000	B-05-B-1-F
459-011-004-100	B-05-B-2-A
459-001-013-603	B-05-B-3-A
459-024-003-000	B-05-B-3-B
539-214-001-600	B-05-C-1
600-900-001-603	B-05-C-2-A
553-908-002-000	B-05-C-2-B
218-004-006-694	B-05-C-2-B-1
740-101-017-100	B-05-C-2-C
539-040-039-603	B-05-C-3
554-691-003-000	B-05-C-3-A
455-000-002-000	B-05-C-3-B
561-318-002-000	B-05-D-1-A
539-224-012-604	B-05-D-1-B
554-700-002-000	B05D2
700-271-101-000	B-05-D-2-B
700-270-101-000	B-05-D-2-D
459-001-007-133	B-05-D-3-A
524-310-004-603	B-05-D-3-B
586-899-005-603	B-05-E-3
750-219-001-603	B-06-4-D-4A
571-914-003-694	B-06-A-1
571-914-004-694	B-06-A-2
569-044-004-653	B-06-A-3
217-330-003-604	B-06-B-1-A
552-700-001-000	B-06-B-2-A
201-000-001-603	B-06-B-3
215-430-001-603	B-06-B-3-B
453-620-006-603	B-06-C-1-A
990-321-002-100	B-06-C-1-B
459-001-007-103	B-06-C-2-A
218-284-009-000	B-06-C-2-B
600-900-012-603	B-06-C-3
534-012-002-107	B-06-C-3-B
451-010-002-603	B-06-D-1
459-214-001-603	B-06-D-1-B
453-520-001-603	B-06-D-2-A
459-210-002-000	B-06-D-2-B
904-408-005	B-06-D-2-C
539-160-001-603	B-06-D-2-E
569-044-005-603	B-06-D-3-A
962-429-005	B-06-D-3-B
453-820-001-658	B-06-D-3-C
5326-116	B-06-D-3-D
991-329-004-100	B-06-D-3-E
539-230-005-603	B-06-E-1
240-834-002-000	B-06-E-3
218-026-004-698	B-07-A-1
539-984-010-604	B-07-A-3
850-301-021-600	B-07-B-1-A
850-301-017-600	B-07-B-1-B
539-013-001-603	B-07-B-2
800-210-001	B-07-B-3
218-004-015-604	B-07-C-1-B
906-108-007-108	B-07-C-1-C
540-024-003-603	B-07-C-2-A
800-200-001	B-07-C-2-B
524-910-004-603	B-07-C-3-A
939-808-009-694	B-07-C-3-B
539-984-009-604	B-07-D-1
569-002-006-603	B-07-D-1-A
752-222-002-603	B-07-D-1-B
451-010-004-603	B-07-D-2-A
990-119-002-100	B-07-D-2-B
600-901-001	B-07-D-2-C
554-213-001-603	B-07-D-2-D
554-213-002-603	B-07-D-2-E
871-409-001-603	B-07-D-3-A
807-104-002-603	B-07-D-3-B
560-111-006-603	B-07-D-3-C
539-933-015-698	B-07-E-1
539-933-021-000	B-07-E-1-A
702-132-101-000	B-07-E-3
579-911-014-603	B1F
585-826-001-603	BULK01A
585-823-002-603	BULK-01-A-1-A
750-634-005-603	BULK-01-A-1-B
539-212-026-131	BULK-01-A-1-D
585-823-001-603	BULK-01-A-1-F
850-102-021-100	BULK-01-A-2
585-793-001-603	BULK-01-A-2-A
585-599-001-661	BULK-01-A-3
850-701-007-000	BULK-01-AB
602-964-003-603	BULK-01-B-1-A
582-609-002-603	BULK-01-B-2-1
750-324-005-603	BULK-01-B-3
850-701-003-603	BULK-01-B-3-B
539-210-024-121	BULK-01-B-6
582-609-003-603	BULK-01-C
850-106-019-100	BULK-01-C-1-A
550-211-006-125	BULK-01-C-1-B
850-307-006-000	BULK-01-C-3-4
550-321-001-125	BULK-01-C-3-A
6724	BULK-01-C-3-B
550-521-001-125	BULK-01-C-3-D
850-301-101-603	BULK-01-C-3-F
870-205-001-100	BULK-01-D-1
850-205-001-100	BULK01-D-1
870-203-001-100	BULK-01-D-1-A
870-206-001-100	BULK-01-D-1-B
850-201-018-100	BULK-01-D-1-E
6617	BULK-01-D-2
850-301-010-600	BULK-01-D-3-A
850-407-001-603	BULK-01-E-1-A
029-111-001-100	BULK-01-E-1-B
584-500-001-000	BULK-02-A-2-A
80939	BULK-02-B-1-A
850-201-027-100	BULK-02-B-2-2
850-106-011-100	BULK-02-B-3
584-621-001-661	BULK-02-C-1
850-102-015-100	BULK02-C1
850-106-014-100	BULK02-C11
850-106-020-100	BULK02-C12
850-106-012-100	BULK02-C13
550-521-002-125	BULK-02-C-1-E
850-106-009-100	BULK-02-C-3
850-106-002-100	BULK-02-D-1-A
850-301-047-638	BULK-02-D-1-B
850-201-037-100	BULK--02-D-1-E
585-699-001-661	BULK-02-D-2-A
850-501-006-603	BULK-02-D-4
850-101-015-100	BULK-02-E-1
850-301-015-600	BULK-03-A-1-A
850-601-001-000	BULK-03-A-2
850-607-003-698	BULK-03-A-2-A
850-201-018-131	BULK-03-B-3-A
584-620-001-661	BULK-03-C-1
587-490-001-000	BULK-03-C-2
550-611-001-125	BULK-03-D-1-A
850-301-072-600	BULK-03-D-1-B
850-507-001-607	BULK-03-D-2
